year,concrete_tt,aggregate_tt,brick_tt,asphalt_tt,metal_tt,other_material_tt,waste_tt
1900,0.0023073035,0.01689176325,0.011240708,0,0.0008833648254,0.0042821045703,0.000315621794669
1901,0.002368594,0.0171469045,0.011342108,0,0.0009283418048,0.0042932734922,0.000635332950234
1902,0.002441722,0.01739190925,0.011443897,0,0.0009736957548,0.0043069943672,0.000958368946432
1903,0.0025274815,0.01763974575,0.011548895,0,0.0010192881904,0.0043217789297,0.0012873110143
1904,0.0026244915,0.0178802265,0.011654499,0,0.0010653124449,0.0043383284531,0.00162011872861
1905,0.00273272975,0.0181439615,0.011760175,0,0.0011215493762,0.0043556953203,0.00195893747673
1906,0.0028529505,0.018404277,0.011869863,0,0.0011700577087,0.0043743101953,0.00230257647508
1907,0.00298394375,0.01866978,0.011977981,0,0.0012359902734,0.0043937570781,0.00265716504854
1908,0.0031251555,0.018945505,0.012091511,0,0.0012884386412,0.0044143382109,0.00301177170573
1909,0.00327700075,0.0192332795,0.01220881,0,0.0013491411663,0.0044358082734,0.00337537713846
1910,0.003439588,0.019510067,0.012326471,0,0.0014177913194,0.0044583875703,0.00374692029067
1911,0.00361240225,0.019774841,0.012445817,0,0.0014815028214,0.0044818194531,0.00412613569877
1912,0.003794274,0.0200376285,0.012567546,0,0.0015542432404,0.0045065614531,0.0045121439884
1913,0.00398584025,0.0202962315,0.012693298,0,0.0016408894683,0.0045329114531,0.00490675734503
1914,0.00415045375,0.02055642,0.012817844,0,0.0016966408151,0.0045607568828,0.00530628905767
1915,0.00428858,0.020814046,0.012939871,0,0.0017508282836,0.0045895726094,0.00571332889325
1916,0.004400425,0.0210936605,0.013065727,0,0.0018173521213,0.0046196741875,0.00612691251867
1917,0.004486345,0.021363629,0.013184374,0,0.0018848558088,0.0046511481797,0.00654629106994
1918,0.004546786,0.0216709355,0.013305855,0,0.0019442792233,0.0046840343984,0.00696927158817
1919,0.0045824145,0.021917529,0.013422834,0,0.0019936584923,0.0047181808281,0.00739656107814
1920,0.0046645935,0.0221834155,0.013536204,0,0.0020499147397,0.0047538215156,0.00782691855613
1921,0.0047421065,0.0224420205,0.013656968,1.3848402e-06,0.0020793317333,0.004791904,0.00826269292659
1922,0.004896273,0.0227134705,0.013773485,4.1522881e-06,0.0021246617762,0.0048313964453,0.00870979473686
1923,0.005050678,0.022992372,0.01389343,9.6907734e-06,0.0021866036941,0.004873222625,0.00916668112802
1924,0.0052662395,0.0232920345,0.014015715,1.80194414e-05,0.0022455710332,0.0049170684609,0.00963053491633
1925,0.0055400445,0.023575918,0.01414337,2.91035313e-05,0.0023151326172,0.0049625439922,0.0101077936816
1926,0.0058473605,0.023886024,0.014274066,4.2934543e-05,0.0023867882161,0.0050100010938,0.0105944856852
1927,0.006184917,0.02423282,0.014405351,5.95011641e-05,0.0024663834978,0.0050590467656,0.0110941966943
1928,0.006545626,0.024575883,0.014538969,7.8952375e-05,0.002546872915,0.0051093075313,0.0116093549918
1929,0.0069176485,0.02493019,0.014678745,0.0001010682891,0.002640582428,0.0051610919063,0.0121386075513
