46
-18.00,-7.40,0.51 
-18.00,-7.15,0.64 
-18.00,-6.81,0.80 
-18.00,-6.42,0.95 
-18.00,-6.07,1.19 
-18.00,-5.72,1.35 
-18.00,-5.37,1.50 
-18.00,-5.04,1.69 
-18.00,-4.70,2.06 
-18.00,-4.35,2.48 
-18.00,-4.04,2.62 
-18.00,-3.70,2.88 
-18.00,-3.38,2.85 
-18.00,-3.09,2.91 
-18.00,-2.69,3.00 
-7.92,-18.00,0.57 
-7.21,-18.00,0.70 
-6.80,-18.00,0.89 
-6.46,-18.00,1.20 
-6.08,-18.00,1.39 
-5.73,-18.00,1.69 
-5.40,-18.00,1.86 
-5.04,-18.00,1.95 
-4.71,-18.00,2.32 
-4.35,-18.00,2.66 
-4.04,-18.00,2.75 
-3.70,-18.00,2.97 
-3.36,-18.00,2.94 
-3.05,-18.00,2.93 
-2.69,-18.00,3.00 
-7.93,-7.93,0.54 
-7.38,-7.38,0.59 
-7.14,-7.14,0.71 
-6.79,-6.79,0.83 
-6.46,-6.46,1.18 
-6.09,-6.09,1.49 
-5.73,-5.73,1.61 
-5.38,-5.38,1.89 
-5.04,-5.04,2.06 
-4.70,-4.70,2.16 
-4.35,-4.35,2.52 
-4.02,-4.02,2.83 
-3.69,-3.69,2.84 
-3.34,-3.34,2.91 
-3.02,-3.02,2.94 
-2.69,-2.69,2.91 
