IDR,Replicate,Group,log2_FR,Baseline_SOX2_median_log2FR,Baseline_ChargeSOX2_median_log2FR,y_norm_log2,Fold,Fold_WTnormalized
Charge-RBM14-SOX2,1,Charge_norm_vs_C,1.88068333092162,-2.751387004591028,-1.609580029654708,3.490263360576328,11.23761021791154,1.139565417948977
Charge-RBM14-SOX2,2,Charge_norm_vs_C,0.7277786883048849,-2.751387004591028,-1.609580029654708,2.337358717959593,5.053765481368417,0.5124840834764257
Charge-RBM14-SOX2,3,Charge_norm_vs_C,0.781646735974563,-2.751387004591028,-1.609580029654708,2.391226765629271,5.246032573725509,0.5319811940907911
Charge-RBM14-SOX2,4,Charge_norm_vs_C,0.4077816206281157,-2.751387004591028,-1.609580029654708,2.017361650282824,4.048427524074884,0.4105363964444325
Charge-RBM14-SOX2,5,Charge_norm_vs_C,0.07728168159787599,-2.751387004591028,-1.609580029654708,1.686861711252584,3.219555926913329,0.3264835249059689
Charge-RBM14-SOX2,6,Charge_norm_vs_C,-0.3636075952032669,-2.751387004591028,-1.609580029654708,1.245972434451441,2.371783680760229,0.2405140068964233
RBM14-SOX2,1,WT_norm_vs_S,0.3984871950802445,-2.751387004591028,-1.609580029654708,3.149874199671272,8.875781791106828,0.9000609373588251
RBM14-SOX2,2,WT_norm_vs_S,0.1683497990359205,-2.751387004591028,-1.609580029654708,2.919736803626948,7.567080556431166,0.7673502773034994
RBM14-SOX2,3,WT_norm_vs_S,0.5038513703643462,-2.751387004591028,-1.609580029654708,3.255238374955374,9.548263463262826,0.9682548720952353
RBM14-SOX2,4,WT_norm_vs_S,0.2453069063925681,-2.751387004591028,-1.609580029654708,2.996693910983596,7.981688139557657,0.8093941331223535
RBM14-SOX2,5,WT_norm_vs_S,0.7458479645602316,-2.751387004591028,-1.609580029654708,3.497234969151259,11.29204571272375,1.145085524643732
RBM14-SOX2,6,WT_norm_vs_S,1.240512422056673,-2.751387004591028,-1.609580029654708,3.991899426647701,15.91041351120605,1.613417503459925
Charge-TAF15(IDR1)-SOX2,1,Charge_norm_vs_C,1.231342673767296,-2.751387004591028,-1.609580029654708,2.840922703422004,7.164781476460986,0.3333631759965349
Charge-TAF15(IDR1)-SOX2,2,Charge_norm_vs_C,1.077816601086025,-2.751387004591028,-1.609580029654708,2.687396630740733,6.441499777090564,0.2997103025300585
Charge-TAF15(IDR1)-SOX2,3,Charge_norm_vs_C,1.657983429965898,-2.751387004591028,-1.609580029654708,3.267563459620606,9.630184642832145,0.4480735314140129
Charge-TAF15(IDR1)-SOX2,4,Charge_norm_vs_C,1.864466126457243,-2.751387004591028,-1.609580029654708,3.474046156111951,11.11199658630603,0.5170193237356583
Charge-TAF15(IDR1)-SOX2,5,Charge_norm_vs_C,1.314816072626081,-2.751387004591028,-1.609580029654708,2.924396102280789,7.591558551919039,0.3532202730740418
Charge-TAF15(IDR1)-SOX2,6,Charge_norm_vs_C,1.375162865355441,-2.751387004591028,-1.609580029654708,2.984742895010149,7.915842430677487,0.3683085634988866
TAF15(IDR1)-SOX2,1,WT_norm_vs_S,1.046419946960528,-2.751387004591028,-1.609580029654708,3.797806951551555,13.90765184029385,0.6470956585858765
TAF15(IDR1)-SOX2,2,WT_norm_vs_S,2.020917225623049,-2.751387004591028,-1.609580029654708,4.772304230214077,27.32792906592368,1.271514735900116
TAF15(IDR1)-SOX2,3,WT_norm_vs_S,2.604594661051568,-2.751387004591028,-1.609580029654708,5.355981665642595,40.95539676181293,1.905573977876574
TAF15(IDR1)-SOX2,4,WT_norm_vs_S,1.181017308178914,-2.751387004591028,-1.609580029654708,3.932404312769942,15.26763093621557,0.7103728083768147
TAF15(IDR1)-SOX2,5,WT_norm_vs_S,1.367195648502943,-2.751387004591028,-1.609580029654708,4.118582653093971,17.37068393362891,0.8082237238318161
TAF15(IDR1)-SOX2,6,WT_norm_vs_S,1.826069472164717,-2.751387004591028,-1.609580029654708,4.577456476755745,23.87545755998091,1.110878033993735
Charge-hnRNPA1-SOX2,1,Charge_norm_vs_C,-3.758210376436968,-2.751387004591028,-1.609580029654708,-2.14863034678226,0.2255266225458492,0.3257817592179872
Charge-hnRNPA1-SOX2,2,Charge_norm_vs_C,-3.845743515096819,-2.751387004591028,-1.609580029654708,-2.236163485442111,0.2122500081897472,0.3066031862736317
Charge-hnRNPA1-SOX2,3,Charge_norm_vs_C,-3.293827653160575,-2.751387004591028,-1.609580029654708,-1.684247623505867,0.3111651460208473,0.449489854162937
Charge-hnRNPA1-SOX2,4,Charge_norm_vs_C,-3.530669333371635,-2.751387004591028,-1.609580029654708,-1.921089303716927,0.2640550606602019,0.3814375492401314
Charge-hnRNPA1-SOX2,5,Charge_norm_vs_C,-3.824142469819261,-2.751387004591028,-1.609580029654708,-2.214562440164553,0.2154518751441155,0.3112284045179389
Charge-hnRNPA1-SOX2,6,Charge_norm_vs_C,-4.074425973817345,-2.751387004591028,-1.609580029654708,-2.464845944162636,0.1811371107176625,0.2616594259388003
hnRNPA1-SOX2,1,WT_norm_vs_S,-3.276979364376936,-2.751387004591028,-1.609580029654708,-0.5255923597859082,0.6946738234843164,1.003482683076129
hnRNPA1-SOX2,2,WT_norm_vs_S,-3.270651346831883,-2.751387004591028,-1.609580029654708,-0.5192643422408554,0.6977275270737116,1.007893873720733
hnRNPA1-SOX2,3,WT_norm_vs_S,-3.373087720580295,-2.751387004591028,-1.609580029654708,-0.6217007159892671,0.6499043385140701,0.9388114641830024
hnRNPA1-SOX2,4,WT_norm_vs_S,-3.199204466203674,-2.751387004591028,-1.609580029654708,-0.4478174616126465,0.7331511353838989,1.059064619342109
hnRNPA1-SOX2,5,WT_norm_vs_S,-3.434163617838928,-2.751387004591028,-1.609580029654708,-0.6827766132479005,0.6229651601786858,0.8998967994267189
hnRNPA1-SOX2,6,WT_norm_vs_S,-3.137883993917054,-2.751387004591028,-1.609580029654708,-0.3864969893260257,0.7649848123834224,1.105049573039421




Group = WT_norm_vs_S (IDR-SOX2 vs SOX2) or Charge_norm_vs_C (Charge-IDR-SOX2 vs Charge-SOX2).
log2_FR = Log2(Firefly Luciferase/ Renilla Luciferase) for this well.
"Baseline_SOX2_median_log2FR = Plate median of log2_FR for SOX2 (S_med), same value for all rows."
"Baseline_ChargeSOX2_median_log2FR = Plate median of log2_FR for Charge-SOX2 (C_med), same value for all rows."
y_norm_log2 = If WT_norm_vs_S: log2_FR − S_med; if Charge_norm_vs_C: log2_FR − C_med.
Fold = 2^(y_norm_log2); fold change vs its own baseline (SOX2 or Charge-SOX2).
Fold_WTnormalized = Fold divided by the WT group geometric mean for the same IDR (so WT center ≈ 1).
